label,_neutral,browDownLeft,browDownRight,browInnerUp,browOuterUpLeft,browOuterUpRight,cheekPuff,cheekSquintLeft,cheekSquintRight,eyeBlinkLeft,eyeBlinkRight,eyeLookDownLeft,eyeLookDownRight,eyeLookInLeft,eyeLookInRight,eyeLookOutLeft,eyeLookOutRight,eyeLookUpLeft,eyeLookUpRight,eyeSquintLeft,eyeSquintRight,eyeWideLeft,eyeWideRight,jawForward,jawLeft,jawOpen,jawRight,mouthClose,mouthDimpleLeft,mouthDimpleRight,mouthFrownLeft,mouthFrownRight,mouthFunnel,mouthLeft,mouthLowerDownLeft,mouthLowerDownRight,mouthPressLeft,mouthPressRight,mouthPucker,mouthRight,mouthRollLower,mouthRollUpper,mouthShrugLower,mouthShrugUpper,mouthSmileLeft,mouthSmileRight,mouthStretchLeft,mouthStretchRight,mouthUpperUpLeft,mouthUpperUpRight,noseSneerLeft,noseSneerRight
Normal,0,0,0,0.3758915960788727,0.54546058177948,0.30823925137519836,0,0,0,0.20873191952705383,0.24070757627487183,0.5825951099395752,0.5667514801025391,0,0.11722025275230408,0.11037030071020126,0,0,0,0.18668854236602783,0.27985188364982605,0,0,0,0,0,0,0,0,0,0.1433763951063156,0.16586631536483765,0,0,0,0,0,0,0.21807508170604706,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3636742830276489,0.5089433789253235,0.33914533257484436,0,0,0,0.2120930403470993,0.24780891835689545,0.6484203338623047,0.6395261883735657,0,0,0,0,0,0,0.19996538758277893,0.2780153155326843,0,0,0,0,0,0,0,0,0,0.19215193390846252,0.22521595656871796,0,0,0,0,0,0,0.2632715106010437,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3548661172389984,0.4593871533870697,0.35082194209098816,0,0,0,0.2668042480945587,0.26817983388900757,0.6664312481880188,0.6619130373001099,0,0,0,0,0,0,0.16743895411491394,0.2995218336582184,0,0,0,0,0,0,0,0,0,0.1472984105348587,0.16364134848117828,0,0,0,0,0,0,0.20636866986751556,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3656785190105438,0.47417151927948,0.3648454248905182,0,0,0,0.2618129253387451,0.26935040950775146,0.670119047164917,0.6652405858039856,0.1159907802939415,0,0,0.10997168719768524,0,0,0.17854824662208557,0.30441781878471375,0,0,0,0,0,0,0,0,0,0.13610373437404633,0.1537414938211441,0,0,0,0,0,0,0.20528686046600342,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3744773268699646,0.4484719932079315,0.3914995789527893,0,0,0,0.22317646443843842,0.26197922229766846,0.6491883993148804,0.6453678607940674,0,0,0,0,0,0,0.18238958716392517,0.3075755834579468,0,0,0,0,0,0,0,0,0,0.14283007383346558,0.15625707805156708,0,0,0,0,0,0,0.2685104012489319,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.39591193199157715,0.4592260718345642,0.379900723695755,0,0,0,0.2347348928451538,0.2551673650741577,0.6536009907722473,0.6522007584571838,0,0,0,0,0,0,0.17826250195503235,0.3092212378978729,0,0,0,0,0,0,0,0,0,0.15461502969264984,0.1733832061290741,0,0,0,0,0,0,0.29911550879478455,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.4072991609573364,0.48680686950683594,0.4038252830505371,0,0,0,0.24632763862609863,0.2584163248538971,0.6654132604598999,0.6643259525299072,0,0,0,0,0,0,0.18554402887821198,0.3023217022418976,0,0,0,0,0,0,0,0,0,0.15003009140491486,0.16626012325286865,0,0,0,0,0,0,0.28082460165023804,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.4306744635105133,0.5241608619689941,0.42457401752471924,0,0,0,0.2230425626039505,0.2370101660490036,0.6657357215881348,0.6628186702728271,0,0,0,0,0,0,0.18390542268753052,0.2866964042186737,0,0,0,0,0,0,0,0,0,0.1776707023382187,0.18923549354076385,0,0,0,0,0,0,0.3243315815925598,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.3679991066455841,0.48532262444496155,0.4051295220851898,0,0,0,0.22474776208400726,0.2440222054719925,0.6607531309127808,0.6563371419906616,0,0,0,0,0,0,0.1868515908718109,0.2788081765174866,0,0,0,0,0,0,0,0,0,0.17735491693019867,0.18634453415870667,0,0,0,0,0,0,0.3149951994419098,0,0,0,0,0,0,0,0,0,0,0,0,0
Normal,0,0,0,0.36333999037742615,0.4751890301704407,0.3927696943283081,0,0,0,0.2032732218503952,0.2261076718568802,0.6619508266448975,0.6538630127906799,0,0,0,0,0,0,0.16794809699058533,0.2765004634857178,0,0,0,0,0,0,0,0,0,0.13789032399654388,0.14071796834468842,0,0,0,0,0,0,0.2910063564777374,0,0,0,0,0,0,0,0,0,0,0,0,0
